file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
s01e02,913.17,915.78,speaker,-43.91415604046935,-47.26200866699219,6.633121715593739,8.610614671197593
s01e05,1059.885,1062.62,speaker,-40.66538246909341,-47.41673907111673,6.621624941469279,1.5184055558401006
s01e01,307.935,309.47,speaker,-49.22074751420455,-51.338570488823784,6.617252624934458,2.6443934896920513
s01e05,768.33,771.035,speaker,-43.340151186342595,-47.60102789742606,6.610699970901699,13.06714297605189
s01e04,1067.995,1071.16,speaker,-44.48780991226341,-51.937629533850625,6.609327864088936,5.266759579578132
s01e02,279.34,281.11,speaker,-45.78715075476695,-51.3792781829834,6.577627287120152,10.339034809517862
s01e04,1025.635,1028.05,speaker,-43.06952233532158,-45.80495834350586,6.571163284586187,4.471116833273191
s01e04,945.805,947.405,speaker,-50.20596618652344,-52.03575929005941,6.560899576867196,8.073594604603745
s01e01,1046.875,1048.675,speaker,-46.525390625,-49.50093913078308,6.560899576867196,3.927380448231265
s01e04,947.405,948.975,speaker,-40.31394929339172,-41.11369069417318,6.55616767521339,9.501396511673383
s01e04,80.945,82.145,speaker,-47.58747151692708,-46.369318280901226,6.554275683058702,4.540435912157282
s01e03,513.17,515.71,speaker,-42.688826433316926,-46.32160568237305,6.553591723923565,7.5893884468202835
s01e04,616.475,618.98,speaker,-51.69611328125,-54.18995176042829,6.5359136834127325,11.384088789037659
s01e01,1254.65,1258.285,speaker,-45.94561918904959,-46.2709513577548,6.5359136834127325,1.0172030187792558
s01e02,245.34,246.875,speaker,-43.144649331086605,-43.335272789001465,6.5005107123399615,6.118901047104611
s01e04,748.575,749.975,speaker,-44.81288713727679,-46.85056686401367,6.4901759519187525,11.4759807412653
s01e01,829.59,832.26,speaker,-52.537544621956926,-51.82293199811663,6.488682174917676,9.895577927332646
s01e03,458.385,459.95,speaker,-43.77294921875,-49.36800193786621,6.483781730985222,13.856560328199578
s01e04,1151.275,1154.35,speaker,-47.12035576140065,-50.355088233947754,6.4490788378044925,11.874839593376265
s01e05,400.725,402.665,speaker,-39.64042616382088,-45.77782917022705,6.436989438935848,8.256909739920612
s01e02,1229.46,1231.695,speaker,-42.74559014153587,-49.18949222564697,6.418614975279283,12.826630152641249
s01e02,1058.55,1062.225,speaker,-39.968249744550405,-45.83745515346527,6.415978000444475,11.379509599481903
s01e02,246.875,249.51,speaker,-50.22877554657795,-52.70853944258256,6.415343897885193,8.843376896501015
s01e02,255.25,257.08,speaker,-39.82870133196721,-41.560537338256836,6.382573177296449,5.584057171228114
s01e04,1266.59,1268.495,speaker,-48.0685546875,-50.396697489420575,6.379815851017279,10.194698118285933
s01e02,634.625,636.36,speaker,-39.57660683818247,-42.11071853637695,6.371227473943957,5.852655642605601
s01e03,777.24,778.775,speaker,-36.3315940308415,-37.4414176940918,6.358479499954819,5.1520653276962065
s01e03,862.225,864.855,speaker,-52.314200629752854,-52.60122858683268,6.337742256805534,0.04348996301534669
s01e02,74.6,77.225,speaker,-46.002016248811785,-44.066966162787544,6.326890369522969,7.047467018499571
s01e01,655.72,658.22,speaker,-43.54434375,-50.13425148857964,6.314656978246522,5.554143361895521
s01e04,396.79,399.995,speaker,-48.517086791992185,-49.402900505065915,6.294647557733184,16.321541930401146
s01e03,146.94,149.045,speaker,-43.60666387648809,-49.31989034016927,6.275943709755903,9.963664142361488
s01e02,117.48,118.845,speaker,-45.43246280445772,-39.60882568359375,6.255990779529613,10.071687156926318
